City,Candidate,Party,Votes,Won
Halifax,Geoff Diehl,REP,1910,TRUE
Halifax,Kevin Reed,LIB,54,FALSE
Hamilton,Maura Healey,DEM,2377,TRUE
Hamilton,Geoff Diehl,REP,1257,FALSE
Hamilton,Kevin Reed,LIB,63,FALSE
Hampden,Maura Healey,DEM,1026,FALSE
Hampden,Geoff Diehl,REP,1266,TRUE
Hampden,Kevin Reed,LIB,38,FALSE
Hancock,Maura Healey,DEM,182,TRUE
Hancock,Geoff Diehl,REP,152,FALSE
Hancock,Kevin Reed,LIB,14,FALSE
Hanover,Maura Healey,DEM,3524,FALSE
Hanover,Geoff Diehl,REP,3727,TRUE
Hanover,Kevin Reed,LIB,70,FALSE
Hanson,Maura Healey,DEM,2205,FALSE
Hanson,Geoff Diehl,REP,2707,TRUE
Hanson,Kevin Reed,LIB,88,FALSE
Hardwick,Maura Healey,DEM,506,FALSE
Hardwick,Geoff Diehl,REP,573,TRUE
Hardwick,Kevin Reed,LIB,27,FALSE
Harvard,Maura Healey,DEM,2298,TRUE
Harvard,Geoff Diehl,REP,819,FALSE
Harvard,Kevin Reed,LIB,61,FALSE
Harwich,Maura Healey,DEM,4447,TRUE
Harwich,Geoff Diehl,REP,2872,FALSE
Harwich,Kevin Reed,LIB,106,FALSE
Hatfield,Maura Healey,DEM,1184,TRUE
Hatfield,Geoff Diehl,REP,545,FALSE
Hatfield,Kevin Reed,LIB,30,FALSE
Haverhill,Maura Healey,DEM,11954,TRUE
Haverhill,Geoff Diehl,REP,8527,FALSE
Haverhill,Kevin Reed,LIB,339,FALSE
Hawley,Maura Healey,DEM,108,TRUE
Hawley,Geoff Diehl,REP,48,FALSE
Hawley,Kevin Reed,LIB,2,FALSE
Heath,Maura Healey,DEM,238,TRUE
Heath,Geoff Diehl,REP,121,FALSE
Heath,Kevin Reed,LIB,4,FALSE
Hingham,Maura Healey,DEM,7798,TRUE
Hingham,Geoff Diehl,REP,4397,FALSE
Hingham,Kevin Reed,LIB,182,FALSE
Hinsdale,Maura Healey,DEM,522,TRUE
Hinsdale,Geoff Diehl,REP,315,FALSE
Hinsdale,Kevin Reed,LIB,15,FALSE
Holbrook,Maura Healey,DEM,2194,TRUE
Holbrook,Geoff Diehl,REP,1610,FALSE
Holbrook,Kevin Reed,LIB,69,FALSE
Holden,Maura Healey,DEM,5253,TRUE
Holden,Geoff Diehl,REP,3897,FALSE
Holden,Kevin Reed,LIB,148,FALSE
Holland,Maura Healey,DEM,470,FALSE
Holland,Geoff Diehl,REP,561,TRUE
Holland,Kevin Reed,LIB,29,FALSE
Holliston,Maura Healey,DEM,4825,TRUE
Holliston,Geoff Diehl,REP,2172,FALSE
Holliston,Kevin Reed,LIB,139,FALSE
Holyoke,Maura Healey,DEM,6520,TRUE
Holyoke,Geoff Diehl,REP,2991,FALSE
Holyoke,Kevin Reed,LIB,145,FALSE
Hopedale,Maura Healey,DEM,1472,TRUE
Hopedale,Geoff Diehl,REP,964,FALSE
Hopedale,Kevin Reed,LIB,52,FALSE
Hopkinton,Maura Healey,DEM,5164,TRUE
Hopkinton,Geoff Diehl,REP,2574,FALSE
Hopkinton,Kevin Reed,LIB,100,FALSE
Hubbardston,Maura Healey,DEM,966,FALSE
Hubbardston,Geoff Diehl,REP,1176,TRUE
Hubbardston,Kevin Reed,LIB,53,FALSE
Hudson,Maura Healey,DEM,5209,TRUE
Hudson,Geoff Diehl,REP,2887,FALSE
Hudson,Kevin Reed,LIB,154,FALSE
Hull,Maura Healey,DEM,3362,TRUE
Hull,Geoff Diehl,REP,1871,FALSE
Hull,Kevin Reed,LIB,80,FALSE
Huntington,Maura Healey,DEM,411,FALSE
Huntington,Geoff Diehl,REP,461,TRUE
Huntington,Kevin Reed,LIB,14,FALSE
Ipswich,Maura Healey,DEM,4744,TRUE
Ipswich,Geoff Diehl,REP,2535,FALSE
Ipswich,Kevin Reed,LIB,109,FALSE
Kingston,Maura Healey,DEM,3167,TRUE
Kingston,Geoff Diehl,REP,2998,FALSE
Kingston,Kevin Reed,LIB,102,FALSE
Lakeville,Maura Healey,DEM,2329,FALSE
Lakeville,Geoff Diehl,REP,3050,TRUE
Lakeville,Kevin Reed,LIB,105,FALSE
Lancaster,Maura Healey,DEM,1667,TRUE
Lancaster,Geoff Diehl,REP,1365,FALSE
Lancaster,Kevin Reed,LIB,55,FALSE
Lanesborough,Maura Healey,DEM,812,TRUE
Lanesborough,Geoff Diehl,REP,427,FALSE
Lanesborough,Kevin Reed,LIB,36,FALSE
Lawrence,Maura Healey,DEM,7203,TRUE
Lawrence,Geoff Diehl,REP,2691,FALSE
Lawrence,Kevin Reed,LIB,188,FALSE
Lee,Maura Healey,DEM,1603,TRUE
Lee,Geoff Diehl,REP,733,FALSE
Lee,Kevin Reed,LIB,40,FALSE
Leicester,Maura Healey,DEM,2046,FALSE
Leicester,Geoff Diehl,REP,2292,TRUE
Leicester,Kevin Reed,LIB,93,FALSE
Lenox,Maura Healey,DEM,1976,TRUE
Lenox,Geoff Diehl,REP,490,FALSE
Lenox,Kevin Reed,LIB,38,FALSE
Leominster,Maura Healey,DEM,7864,TRUE
Leominster,Geoff Diehl,REP,6117,FALSE
Leominster,Kevin Reed,LIB,289,FALSE
Leverett,Maura Healey,DEM,930,TRUE
Leverett,Geoff Diehl,REP,136,FALSE
Leverett,Kevin Reed,LIB,14,FALSE
Lexington,Maura Healey,DEM,11419,TRUE
Lexington,Geoff Diehl,REP,2960,FALSE
Lexington,Kevin Reed,LIB,191,FALSE
Leyden,Maura Healey,DEM,256,TRUE
Leyden,Geoff Diehl,REP,123,FALSE
Leyden,Kevin Reed,LIB,13,FALSE
Lincoln,Maura Healey,DEM,2693,TRUE
Lincoln,Geoff Diehl,REP,567,FALSE
Lincoln,Kevin Reed,LIB,53,FALSE
Littleton,Maura Healey,DEM,3275,TRUE
Littleton,Geoff Diehl,REP,1659,FALSE
Littleton,Kevin Reed,LIB,91,FALSE
Longmeadow,Maura Healey,DEM,4469,TRUE
Longmeadow,Geoff Diehl,REP,2677,FALSE
Longmeadow,Kevin Reed,LIB,116,FALSE
Lowell,Maura Healey,DEM,13740,TRUE
Lowell,Geoff Diehl,REP,6608,FALSE
Lowell,Kevin Reed,LIB,461,FALSE
Ludlow,Maura Healey,DEM,3682,FALSE
Ludlow,Geoff Diehl,REP,4140,TRUE
Ludlow,Kevin Reed,LIB,118,FALSE
Lunenburg,Maura Healey,DEM,2831,TRUE
Lunenburg,Geoff Diehl,REP,2315,FALSE
Lunenburg,Kevin Reed,LIB,116,FALSE
Lynn,Maura Healey,DEM,13232,TRUE
Lynn,Geoff Diehl,REP,6215,FALSE
Lynn,Kevin Reed,LIB,334,FALSE
Lynnfield,Maura Healey,DEM,2886,FALSE
Lynnfield,Geoff Diehl,REP,2990,TRUE
Lynnfield,Kevin Reed,LIB,79,FALSE
Malden,Maura Healey,DEM,10982,TRUE
Malden,Geoff Diehl,REP,3654,FALSE
Malden,Kevin Reed,LIB,247,FALSE
Manchester-by-the-Sea,Maura Healey,DEM,1981,TRUE
Manchester-by-the-Sea,Geoff Diehl,REP,859,FALSE
Manchester-by-the-Sea,Kevin Reed,LIB,44,FALSE
Mansfield,Maura Healey,DEM,6011,TRUE
Mansfield,Geoff Diehl,REP,3959,FALSE
Mansfield,Kevin Reed,LIB,165,FALSE
Marblehead,Maura Healey,DEM,7230,TRUE
Marblehead,Geoff Diehl,REP,3158,FALSE
Marblehead,Kevin Reed,LIB,114,FALSE
Marion,Maura Healey,DEM,1689,TRUE
Marion,Geoff Diehl,REP,1047,FALSE
Marion,Kevin Reed,LIB,53,FALSE
Marlborough,Maura Healey,DEM,8293,TRUE
Marlborough,Geoff Diehl,REP,4581,FALSE
Marlborough,Kevin Reed,LIB,254,FALSE
Marshfield,Maura Healey,DEM,6832,TRUE
Marshfield,Geoff Diehl,REP,6058,FALSE
Marshfield,Kevin Reed,LIB,176,FALSE
Mashpee,Maura Healey,DEM,4493,TRUE
